TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Interaction,Details
11.41987,1,Training,2,Body,Shelves,Foot Interaction,Left Foot Press
11.7532,1,Training,2,Body,Shelves,Foot Interaction,Right Foot Press
13.76429,1,Training,2,Body,Shelves,Foot Interaction,Right Foot Press
14.49762,1,Training,2,Body,Shelves,Foot Interaction,Left Foot Press
15.09761,1,Training,2,Body,Shelves,Foot Interaction,Right Foot Press
15.65316,1,Training,2,Body,Shelves,Foot Interaction,Left Foot Press
16.24204,1,Training,2,Body,Shelves,Foot Interaction,Right Foot Press
17.54203,1,Training,2,Body,Shelves,Foot Interaction,Right Foot Press
17.69758,1,Training,2,Body,Shelves,Foot Interaction,Left Foot Press
18.49757,1,Training,2,Body,Shelves,Foot Interaction,Right Foot Press
23.35307,1,Training,2,Body,Shelves,Foot Interaction,Right Foot Press
24.06418,1,Training,2,Body,Shelves,Foot Interaction,Left Foot Press
76.1636,1,Training,2,Body,Shelves,Foot Interaction,Right Foot Press
78.46357,1,Training,2,Body,Shelves,Foot Interaction,Right Foot Press
80.39688,1,Training,2,Body,Shelves,Foot Interaction,Left Foot Press
89.66344,1,Training,2,Body,Shelves,Foot Interaction,Left Foot Press
93.38563,1,Training,2,Body,Shelves,TaskBoard Button,Start
113.4965,1,Training,2,Body,Shelves,Foot Interaction,Right Foot Press
113.5965,1,Training,2,Body,Shelves,Foot Interaction,Left Foot Press
127.8852,1,Training,2,Body,Shelves,Hand Interaction,MAX1 Grabbed
127.9075,1,Training,2,Body,Shelves,Hand Interaction,MAX1 Grabbed
127.9186,1,Training,2,Body,Shelves,Hand Interaction,MAX1 Grabbed
127.9519,1,Training,2,Body,Shelves,Hand Interaction,MAX1 Grabbed
127.9741,1,Training,2,Body,Shelves,Hand Interaction,MAX1 Grabbed
127.9852,1,Training,2,Body,Shelves,Hand Interaction,MAX1 Grabbed
128.0075,1,Training,2,Body,Shelves,Hand Interaction,MAX1 Grabbed
128.0408,1,Training,2,Body,Shelves,Hand Interaction,MAX1 Grabbed
128.063,1,Training,2,Body,Shelves,Hand Interaction,MAX1 Grabbed
128.0852,1,Training,2,Body,Shelves,Hand Interaction,MAX1 Grabbed
128.963,1,Training,2,Body,Shelves,Hand Interaction,MAX1 Selected
137.5851,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.5963,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.6185,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.6407,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.6518,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.6629,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.6851,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.7074,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.7296,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.7407,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.7629,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.774,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.7962,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.8185,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.8296,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.8407,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.8629,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.8851,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
137.9073,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
139.3518,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Selected
141.1073,1,Training,2,Body,Shelves,Hand Interaction,MAX2 Selected
152.1516,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
152.1739,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
152.1961,1,Training,2,Body,Shelves,Hand Interaction,MAX3 Grabbed
