TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,TaskboardPosition.x,TaskboardPosition.y,TaskboardPosition.z,TaskboardRotation.x,TaskboardRotation.y,TaskboardRotation.z,Landmark1Name,Landmark2Name,Landmark3Name,Landmark4Name,Landmark5Name,Landmark6Name,Landmark1Position.x,Landmark1Position.y,Landmark1Position.z,Landmark2Position.x,Landmark2Position.y,Landmark2Position.z,Landmark3Position.x,Landmark3Position.y,Landmark3Position.z,Landmark4Position.x,Landmark4Position.y,Landmark4Position.z,Landmark5Position.x,Landmark5Position.y,Landmark5Position.z,Landmark6Position.x,Landmark6Position.y,Landmark6Position.z,Landmark1Rotation.x,Landmark1Rotation.y,Landmark1Rotation.z,Landmark2Rotation.x,Landmark2Rotation.y,Landmark2Rotation.z,Landmark3Rotation.x,Landmark3Rotation.y,Landmark3Rotation.z,Landmark4Rotation.x,Landmark4Rotation.y,Landmark4Rotation.z,Landmark5Rotation.x,Landmark5Rotation.y,Landmark5Rotation.z,Landmark6Rotation.x,Landmark6Rotation.y,Landmark6Rotation.z,Landmark1State,Landmark2State,Landmark3State,Landmark4State,Landmark5State,Landmark6State
0,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,,,,
0.02,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4581391,0.9723557,0.2690109,0.07085633,0.9869528,0.3517951,-0.1528989,1.04005,0.6529248,0.30682,1.039979,0.6525221,-0.5515789,0.9778805,0.3003433,0.7329932,1.008949,0.476543,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.34,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4434787,0.9264754,0.2981585,0.06858897,0.9383821,0.3809428,-0.1480061,0.9816948,0.6820729,0.2970019,0.9816371,0.6816702,-0.5339283,0.9309816,0.329491,0.7095376,0.9563255,0.5056908,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.4,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4407299,0.9178728,0.3036237,0.06816384,0.9292752,0.3864079,-0.1470887,0.9691693,0.6785554,0.295161,0.9691847,0.6785532,-0.5306188,0.9221881,0.3349561,0.7051397,0.9464586,0.511156,79.99997,0,0,79.99997,0,0,80.00003,0,0,80.00003,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.46,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4379811,0.9092703,0.3090889,0.06773871,0.9201682,0.3918731,-0.1461713,0.9578748,0.6820195,0.2933201,0.9578927,0.682017,-0.5273093,0.9133946,0.3404213,0.7007418,0.9365916,0.5166213,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.48,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4370648,0.9064028,0.3109106,0.067597,0.9171325,0.3936948,-0.1458655,0.9537963,0.6813954,0.2927065,0.953815,0.6813926,-0.5262061,0.9104634,0.342243,0.6992758,0.9333026,0.518443,79.99997,0,0,79.99997,0,0,80.00003,0,0,80.00003,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.5,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4361485,0.9035352,0.3127323,0.06745529,0.9140968,0.3955166,-0.1455597,0.9500016,0.6823807,0.2920929,0.9500211,0.6823778,-0.525103,0.9075322,0.3440648,0.6978098,0.9300137,0.5202648,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.52,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4352323,0.9006677,0.3145541,0.06731358,0.9110612,0.3973383,-0.1452539,0.946207,0.6833666,0.2914793,0.9462274,0.6833636,-0.5239998,0.904601,0.3458865,0.6963438,0.9267247,0.5220866,79.99997,0,0,79.99997,0,0,80.00003,0,0,80.00003,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.54,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.434316,0.8978002,0.3163758,0.06717187,0.9080255,0.39916,-0.1449481,0.9424239,0.6844176,0.2908656,0.9424451,0.6844145,-0.5228966,0.9016699,0.3477082,0.6948779,0.9234357,0.5239083,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.56,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4333997,0.8949327,0.3181975,0.06703016,0.9049898,0.4009818,-0.1446423,0.9385844,0.685149,0.290252,0.9386064,0.6851457,-0.5217935,0.8987387,0.34953,0.6934119,0.9201467,0.5257301,79.99997,0,0,79.99997,0,0,80.00003,0,0,80.00003,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.58,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4324834,0.8920652,0.3200192,0.06688845,0.9019542,0.4028035,-0.1443365,0.9347488,0.6859021,0.2896384,0.9347717,0.6858987,-0.5206903,0.8958075,0.3513517,0.6919459,0.9168577,0.5275518,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.6,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4315672,0.8891976,0.321841,0.06674674,0.8989185,0.4046252,-0.1440307,0.9309482,0.6868537,0.2890247,0.9309719,0.6868502,-0.5195872,0.8928763,0.3531734,0.6904799,0.9135687,0.5293736,79.99997,0,0,79.99997,0,0,80.00003,0,0,80.00003,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.62,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4306509,0.8863301,0.3236627,0.06660503,0.8958828,0.4064469,-0.1437249,0.9270906,0.6874822,0.2884111,0.9271151,0.6874785,-0.518484,0.8899451,0.3549951,0.689014,0.9102798,0.5311953,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.64,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4297346,0.8834626,0.3254844,0.06646332,0.8928472,0.4082687,-0.1434191,0.9232843,0.6884019,0.2877975,0.9233096,0.6883981,-0.5173808,0.887014,0.3568169,0.687548,0.9069908,0.5330171,79.99997,0,0,79.99997,0,0,80.00003,0,0,80.00003,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.68,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4279021,0.8777276,0.3291279,0.0661799,0.8867759,0.4119121,-0.1428075,0.9158353,0.6911688,0.2865702,0.9158623,0.6911649,-0.5151745,0.8811516,0.3604603,0.684616,0.9004128,0.5366606,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.74,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4251533,0.869125,0.3345931,0.06575477,0.8776689,0.4173773,-0.14189,0.904511,0.6944643,0.2847293,0.9045405,0.69446,-0.511865,0.8723581,0.3659255,0.6802181,0.8905458,0.5421259,79.99997,0,0,79.99997,0,0,80.00003,0,0,80.00003,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.76,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.424237,0.8662575,0.3364148,0.06561306,0.8746332,0.419199,-0.1415842,0.9000977,0.6919413,0.2841157,0.9001279,0.6919366,-0.5107619,0.8694269,0.3677472,0.6787521,0.8872569,0.5439476,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.78,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4233207,0.86339,0.3382365,0.06547135,0.8715975,0.4210207,-0.1412784,0.8849094,0.6944813,0.2835021,0.8849095,0.6944817,-0.5096587,0.8664957,0.3695689,0.6772861,0.8839679,0.5457694,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.82,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4214882,0.8576549,0.34188,0.06518793,0.8655262,0.4246642,-0.1412784,0.884751,0.693583,0.2835021,0.8847511,0.6935834,-0.5074524,0.8606334,0.3732124,0.6743542,0.8773899,0.5494129,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.84,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4205719,0.8547874,0.3437017,0.06504622,0.8624905,0.4264859,-0.1412784,0.8845456,0.692418,0.2835021,0.8845456,0.6924183,-0.5063492,0.8577022,0.3750341,0.6728882,0.8741009,0.5512347,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
0.86,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4196556,0.8519199,0.3455234,0.06490451,0.8594549,0.4283077,-0.1412784,0.8844284,0.6917533,0.2835021,0.8844284,0.6917535,-0.505246,0.854771,0.3768559,0.6714222,0.8602992,0.5549101,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,highlighted,highlighted,,,highlighted,
