TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Interaction,Details
3.408851,1,Training,4,Floor,Shelves,Foot Interaction,Left Foot Press
4.85328,1,Training,4,Floor,Shelves,Foot Interaction,Right Foot Press
15.47538,1,Training,4,Floor,Shelves,Foot Interaction,Right Foot Press
16.30871,1,Training,4,Floor,Shelves,Foot Interaction,Left Foot Press
17.33092,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.37536,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.39758,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.4087,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.43092,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.45314,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.46425,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.48647,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.50869,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.53092,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.55314,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.56425,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.59758,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.6198,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.64203,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.65314,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.67536,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.69758,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.7198,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.73091,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.75314,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.78647,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.80869,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
17.83091,1,Training,4,Floor,Shelves,Foot Interaction,Left Sliding MAX3
