Timestamp	Position.x	Position.y	Position.z	Rotation.x	Rotation.y	Rotation.z	Rotation.w
0.02045441	0.0572	1.7203	0.6768	-0.1015	0.0142	0.0010	-0.9947
0.04267502	0.0572	1.7203	0.6768	-0.1015	0.0142	0.0010	-0.9947
0.06489944	0.0571	1.7197	0.6779	-0.1032	0.0144	0.0015	-0.9946
0.08712006	0.0571	1.7197	0.6779	-0.1032	0.0144	0.0015	-0.9946
0.1093407	0.0570	1.7194	0.6785	-0.1044	0.0143	0.0020	-0.9944
0.1315651	0.0571	1.7187	0.6798	-0.1073	0.0138	0.0021	-0.9941
0.1537857	0.0571	1.7187	0.6798	-0.1073	0.0138	0.0021	-0.9941
0.1760063	0.0572	1.7181	0.6811	-0.1095	0.0125	0.0026	-0.9939
0.1982307	0.0576	1.7171	0.6822	-0.1130	0.0109	0.0022	-0.9935
0.2204514	0.0579	1.7163	0.6830	-0.1151	0.0094	0.0020	-0.9933
0.2426758	0.0582	1.7159	0.6837	-0.1159	0.0080	0.0021	-0.9932
0.2648964	0.0585	1.7152	0.6841	-0.1182	0.0070	0.0019	-0.9930
0.287117	0.0587	1.7144	0.6847	-0.1209	0.0060	0.0015	-0.9926
0.3093414	0.0587	1.7144	0.6847	-0.1209	0.0060	0.0015	-0.9926
0.331562	0.0589	1.7138	0.6852	-0.1222	0.0054	0.0017	-0.9925
0.3537827	0.0589	1.7137	0.6854	-0.1224	0.0050	0.0022	-0.9925
0.3760071	0.0592	1.7131	0.6860	-0.1241	0.0042	0.0018	-0.9923
0.3982277	0.0594	1.7127	0.6864	-0.1255	0.0038	0.0014	-0.9921
0.4204483	0.0595	1.7122	0.6867	-0.1273	0.0032	0.0015	-0.9919
0.4426727	0.0598	1.7116	0.6872	-0.1286	0.0025	0.0016	-0.9917
0.4648933	0.0600	1.7110	0.6878	-0.1309	0.0016	0.0014	-0.9914
0.487114	0.0601	1.7104	0.6881	-0.1328	0.0009	0.0011	-0.9911
0.5093384	0.0601	1.7104	0.6881	-0.1328	0.0009	0.0011	-0.9911
0.531559	0.0603	1.7098	0.6885	-0.1341	0.0001	0.0007	-0.9910
0.5537834	0.0604	1.7094	0.6888	-0.1346	-0.0006	0.0005	-0.9909
0.576004	0.0606	1.7088	0.6893	-0.1366	-0.0012	0.0001	-0.9906
0.5982246	0.0608	1.7083	0.6895	-0.1386	-0.0015	0.0000	-0.9904
0.6204491	0.0608	1.7083	0.6895	-0.1386	-0.0015	0.0000	-0.9904
0.6426697	0.0609	1.7078	0.6898	-0.1394	-0.0017	-0.0002	-0.9902
0.6648903	0.0612	1.7076	0.6900	-0.1396	-0.0020	-0.0004	-0.9902
0.6871147	0.0615	1.7068	0.6903	-0.1421	-0.0026	-0.0009	-0.9899
0.7093353	0.0615	1.7068	0.6903	-0.1421	-0.0026	-0.0009	-0.9899
0.7315559	0.0617	1.7064	0.6904	-0.1431	-0.0030	-0.0007	-0.9897
0.7537804	0.0617	1.7064	0.6904	-0.1431	-0.0030	-0.0007	-0.9897
0.776001	0.0621	1.7061	0.6907	-0.1441	-0.0032	-0.0009	-0.9896
0.7982216	0.0626	1.7055	0.6908	-0.1457	-0.0039	-0.0007	-0.9893
0.820446	0.0630	1.7052	0.6909	-0.1470	-0.0045	-0.0005	-0.9891
0.8426666	0.0630	1.7052	0.6909	-0.1470	-0.0045	-0.0005	-0.9891
0.8648911	0.0635	1.7053	0.6909	-0.1468	-0.0049	-0.0008	-0.9892
0.8871117	0.0639	1.7057	0.6912	-0.1451	-0.0058	-0.0003	-0.9894
0.9093323	0.0644	1.7061	0.6914	-0.1439	-0.0063	-0.0004	-0.9896
0.9315567	0.0644	1.7061	0.6914	-0.1439	-0.0063	-0.0004	-0.9896
0.9537773	0.0646	1.7062	0.6914	-0.1441	-0.0061	-0.0005	-0.9895
0.9759979	0.0650	1.7066	0.6915	-0.1429	-0.0062	-0.0004	-0.9897
0.9982224	0.0653	1.7070	0.6916	-0.1426	-0.0064	0.0004	-0.9898
1.020443	0.0657	1.7071	0.6915	-0.1426	-0.0065	0.0006	-0.9898
1.042664	0.0661	1.7072	0.6915	-0.1419	-0.0069	0.0008	-0.9899
1.064888	0.0663	1.7074	0.6916	-0.1415	-0.0075	0.0012	-0.9899
1.087109	0.0663	1.7074	0.6916	-0.1415	-0.0075	0.0012	-0.9899
1.109329	0.0664	1.7075	0.6917	-0.1413	-0.0081	0.0015	-0.9899
1.131554	0.0664	1.7076	0.6922	-0.1411	-0.0092	0.0015	-0.9900
1.153774	0.0668	1.7075	0.6921	-0.1411	-0.0104	0.0017	-0.9899
1.175999	0.0669	1.7075	0.6923	-0.1412	-0.0113	0.0018	-0.9899
1.198219	0.0669	1.7075	0.6923	-0.1412	-0.0113	0.0018	-0.9899
1.22044	0.0672	1.7076	0.6924	-0.1407	-0.0124	0.0021	-0.9900
1.242664	0.0673	1.7075	0.6925	-0.1405	-0.0132	0.0021	-0.9900
1.264885	0.0673	1.7075	0.6925	-0.1405	-0.0132	0.0021	-0.9900
1.287106	0.0673	1.7075	0.6924	-0.1408	-0.0135	0.0021	-0.9899
1.30933	0.0673	1.7076	0.6923	-0.1407	-0.0139	0.0023	-0.9900
1.331551	0.0673	1.7079	0.6924	-0.1399	-0.0144	0.0025	-0.9901
1.353771	0.0673	1.7081	0.6925	-0.1390	-0.0148	0.0029	-0.9902
1.375996	0.0672	1.7083	0.6926	-0.1387	-0.0147	0.0027	-0.9902
1.398216	0.0671	1.7085	0.6927	-0.1376	-0.0152	0.0024	-0.9904
1.420437	0.0671	1.7085	0.6927	-0.1376	-0.0152	0.0024	-0.9904
1.442661	0.0670	1.7086	0.6929	-0.1372	-0.0157	0.0022	-0.9904
1.464882	0.0669	1.7085	0.6930	-0.1378	-0.0159	0.0018	-0.9903
1.487106	0.0667	1.7082	0.6933	-0.1388	-0.0157	0.0017	-0.9902
1.509327	0.0665	1.7079	0.6935	-0.1395	-0.0157	0.0017	-0.9901
1.531548	0.0665	1.7079	0.6935	-0.1395	-0.0157	0.0017	-0.9901
1.553772	0.0664	1.7077	0.6936	-0.1404	-0.0159	0.0017	-0.9900
1.575993	0.0664	1.7076	0.6940	-0.1405	-0.0164	0.0015	-0.9899
1.598213	0.0664	1.7076	0.6943	-0.1399	-0.0169	0.0011	-0.9900
