Timestamp	Position.x	Position.y	Position.z	Rotation.x	Rotation.y	Rotation.z	Rotation.w
0.02045441	0.1534	0.7793	1.4934	-0.5104	0.0693	-0.0423	-0.8561
0.04267502	0.1534	0.7793	1.4934	-0.5104	0.0693	-0.0423	-0.8561
0.06489944	0.1536	0.7791	1.4934	-0.5104	0.0692	-0.0423	-0.8561
0.08712006	0.1536	0.7791	1.4934	-0.5104	0.0692	-0.0423	-0.8561
0.1093407	0.1534	0.7788	1.4936	-0.5104	0.0693	-0.0425	-0.8561
0.1315651	0.1534	0.7787	1.4935	-0.5103	0.0693	-0.0424	-0.8561
0.1537857	0.1534	0.7787	1.4935	-0.5103	0.0693	-0.0424	-0.8561
0.1760063	0.1534	0.7786	1.4935	-0.5103	0.0692	-0.0424	-0.8561
0.1982307	0.1533	0.7786	1.4936	-0.5103	0.0692	-0.0424	-0.8561
0.2204514	0.1533	0.7783	1.4937	-0.5103	0.0692	-0.0425	-0.8561
0.2426758	0.1534	0.7778	1.4941	-0.5104	0.0691	-0.0424	-0.8561
0.2648964	0.1534	0.7772	1.4946	-0.5104	0.0690	-0.0424	-0.8561
0.287117	0.1532	0.7778	1.4944	-0.5104	0.0690	-0.0424	-0.8561
0.3093414	0.1532	0.7778	1.4944	-0.5104	0.0690	-0.0424	-0.8561
0.331562	0.1533	0.7774	1.4946	-0.5104	0.0690	-0.0424	-0.8561
0.3537827	0.1533	0.7774	1.4946	-0.5104	0.0690	-0.0424	-0.8561
0.3760071	0.1533	0.7775	1.4945	-0.5104	0.0690	-0.0423	-0.8561
0.3982277	0.1533	0.7773	1.4948	-0.5104	0.0690	-0.0423	-0.8561
0.4204483	0.1534	0.7767	1.4951	-0.5104	0.0691	-0.0424	-0.8561
0.4426727	0.1535	0.7763	1.4954	-0.5104	0.0690	-0.0423	-0.8561
0.4648933	0.1535	0.7761	1.4956	-0.5104	0.0689	-0.0423	-0.8561
0.487114	0.1535	0.7757	1.4960	-0.5105	0.0690	-0.0424	-0.8561
0.5093384	0.1535	0.7757	1.4960	-0.5105	0.0690	-0.0424	-0.8561
0.531559	0.1534	0.7762	1.4957	-0.5105	0.0689	-0.0424	-0.8561
0.5537834	0.1534	0.7760	1.4958	-0.5105	0.0689	-0.0424	-0.8561
0.576004	0.1534	0.7758	1.4961	-0.5105	0.0690	-0.0424	-0.8561
0.5982246	0.1533	0.7759	1.4959	-0.5104	0.0689	-0.0424	-0.8561
0.6204491	0.1533	0.7759	1.4959	-0.5104	0.0689	-0.0424	-0.8561
