Timestamp	Position.x	Position.y	Position.z	Rotation.x	Rotation.y	Rotation.z	Rotation.w
0.02045441	-0.0202	0.0471	0.6552	-0.6120	0.3270	0.5131	0.5052
0.04267502	-0.0202	0.0471	0.6552	-0.6120	0.3270	0.5131	0.5052
0.06489944	-0.0199	0.0468	0.6549	-0.6130	0.3349	0.5063	0.5057
0.08712006	-0.0199	0.0468	0.6549	-0.6130	0.3349	0.5063	0.5057
0.1093407	-0.0198	0.0466	0.6549	-0.6138	0.3335	0.5067	0.5053
0.1315651	-0.0205	0.0485	0.6555	-0.6052	0.3540	0.4958	0.5124
0.1537857	-0.0205	0.0485	0.6555	-0.6052	0.3540	0.4958	0.5124
0.1760063	-0.0205	0.0484	0.6555	-0.6055	0.3519	0.4971	0.5123
0.1982307	-0.0204	0.0483	0.6555	-0.6072	0.3496	0.4979	0.5110
0.2204514	-0.0204	0.0481	0.6555	-0.6081	0.3445	0.5017	0.5097
0.2426758	-0.0205	0.0479	0.6555	-0.6070	0.3341	0.5109	0.5088
0.2648964	-0.0208	0.0481	0.6557	-0.6016	0.3308	0.5169	0.5114
0.287117	-0.0211	0.0483	0.6558	-0.5988	0.3305	0.5190	0.5128
0.3093414	-0.0211	0.0483	0.6558	-0.5988	0.3305	0.5190	0.5128
0.331562	-0.0215	0.0501	0.6562	-0.5899	0.3604	0.4995	0.5221
0.3537827	-0.0216	0.0501	0.6562	-0.5898	0.3599	0.5000	0.5221
0.3760071	-0.0216	0.0502	0.6563	-0.5895	0.3608	0.4994	0.5223
0.3982277	-0.0216	0.0502	0.6563	-0.5890	0.3620	0.4988	0.5228
0.4204483	-0.0215	0.0501	0.6562	-0.5892	0.3610	0.4994	0.5226
0.4426727	-0.0216	0.0501	0.6562	-0.5890	0.3621	0.4987	0.5228
0.4648933	-0.0215	0.0501	0.6562	-0.5892	0.3630	0.4978	0.5228
0.487114	-0.0215	0.0501	0.6562	-0.5893	0.3640	0.4969	0.5228
0.5093384	-0.0215	0.0501	0.6562	-0.5893	0.3640	0.4969	0.5228
0.531559	-0.0215	0.0502	0.6562	-0.5885	0.3640	0.4975	0.5232
0.5537834	-0.0215	0.0502	0.6562	-0.5886	0.3636	0.4978	0.5230
0.576004	-0.0215	0.0502	0.6562	-0.5883	0.3649	0.4970	0.5233
0.5982246	-0.0215	0.0502	0.6562	-0.5887	0.3652	0.4965	0.5231
0.6204491	-0.0215	0.0502	0.6562	-0.5887	0.3652	0.4965	0.5231
0.6426697	-0.0205	0.0486	0.6555	-0.6048	0.3532	0.4968	0.5125
0.6648903	-0.0204	0.0485	0.6555	-0.6063	0.3521	0.4969	0.5113
0.6871147	-0.0202	0.0477	0.6553	-0.6105	0.3418	0.5028	0.5076
0.7093353	-0.0202	0.0477	0.6553	-0.6105	0.3418	0.5028	0.5076
0.7315559	-0.0202	0.0474	0.6552	-0.6104	0.3329	0.5098	0.5066
0.7537804	-0.0202	0.0474	0.6552	-0.6104	0.3329	0.5098	0.5066
0.776001	-0.0198	0.0467	0.6549	-0.6133	0.3357	0.5057	0.5054
0.7982216	-0.0199	0.0469	0.6550	-0.6131	0.3299	0.5102	0.5049
0.820446	-0.0201	0.0472	0.6551	-0.6113	0.3303	0.5110	0.5061
0.8426666	-0.0201	0.0472	0.6551	-0.6113	0.3303	0.5110	0.5061
0.8648911	-0.0204	0.0476	0.6554	-0.6075	0.3296	0.5142	0.5079
0.8871117	-0.0208	0.0480	0.6556	-0.6018	0.3298	0.5176	0.5110
0.9093323	-0.0211	0.0486	0.6558	-0.5972	0.3312	0.5195	0.5136
0.9315567	-0.0211	0.0486	0.6558	-0.5972	0.3312	0.5195	0.5136
0.9537773	-0.0212	0.0486	0.6559	-0.5960	0.3313	0.5202	0.5142
0.9759979	-0.0212	0.0486	0.6559	-0.5955	0.3310	0.5207	0.5145
0.9982224	-0.0212	0.0486	0.6559	-0.5953	0.3312	0.5207	0.5146
1.020443	-0.0212	0.0487	0.6559	-0.5956	0.3313	0.5203	0.5145
1.042664	-0.0212	0.0486	0.6559	-0.5960	0.3308	0.5206	0.5142
1.064888	-0.0212	0.0486	0.6559	-0.5955	0.3308	0.5208	0.5145
1.087109	-0.0212	0.0486	0.6559	-0.5955	0.3308	0.5208	0.5145
1.109329	-0.0212	0.0487	0.6559	-0.5954	0.3313	0.5205	0.5146
1.131554	-0.0212	0.0487	0.6559	-0.5951	0.3314	0.5206	0.5148
1.153774	-0.0212	0.0486	0.6559	-0.5952	0.3313	0.5206	0.5148
1.175999	-0.0212	0.0487	0.6559	-0.5956	0.3310	0.5206	0.5144
1.198219	-0.0212	0.0487	0.6559	-0.5956	0.3310	0.5206	0.5144
1.22044	-0.0213	0.0487	0.6559	-0.5949	0.3318	0.5204	0.5150
1.242664	-0.0212	0.0486	0.6559	-0.5953	0.3313	0.5205	0.5147
1.264885	-0.0212	0.0486	0.6559	-0.5953	0.3313	0.5205	0.5147
1.287106	-0.0212	0.0487	0.6560	-0.5949	0.3312	0.5208	0.5150
1.30933	-0.0213	0.0487	0.6560	-0.5948	0.3317	0.5204	0.5151
1.331551	-0.0212	0.0486	0.6559	-0.5958	0.3313	0.5202	0.5145
1.353771	-0.0213	0.0487	0.6560	-0.5949	0.3315	0.5206	0.5150
1.375996	-0.0212	0.0486	0.6559	-0.5952	0.3316	0.5203	0.5148
1.398216	-0.0212	0.0486	0.6559	-0.5953	0.3311	0.5206	0.5148
1.420437	-0.0212	0.0486	0.6559	-0.5953	0.3311	0.5206	0.5148
1.442661	-0.0212	0.0486	0.6559	-0.5955	0.3310	0.5207	0.5146
1.464882	-0.0213	0.0486	0.6559	-0.5952	0.3308	0.5207	0.5149
1.487106	-0.0213	0.0487	0.6560	-0.5952	0.3311	0.5206	0.5148
1.509327	-0.0212	0.0486	0.6559	-0.5960	0.3312	0.5201	0.5144
1.531548	-0.0212	0.0486	0.6559	-0.5960	0.3312	0.5201	0.5144
1.553772	-0.0212	0.0485	0.6559	-0.5961	0.3309	0.5202	0.5144
1.575993	-0.0212	0.0486	0.6560	-0.5953	0.3312	0.5205	0.5148
1.598213	-0.0212	0.0486	0.6560	-0.5953	0.3315	0.5202	0.5149
1.620438	-0.0213	0.0486	0.6560	-0.5952	0.3316	0.5203	0.5149
1.642658	-0.0212	0.0486	0.6559	-0.5953	0.3313	0.5204	0.5148
1.664879	-0.0213	0.0486	0.6560	-0.5948	0.3313	0.5205	0.5152
1.687103	-0.0213	0.0486	0.6560	-0.5948	0.3313	0.5205	0.5152
1.709324	-0.0213	0.0486	0.6560	-0.5948	0.3313	0.5205	0.5152
1.731544	-0.0212	0.0486	0.6560	-0.5948	0.3315	0.5206	0.5151
1.753769	-0.0212	0.0486	0.6559	-0.5953	0.3315	0.5202	0.5149
1.77599	-0.0212	0.0486	0.6559	-0.5953	0.3315	0.5202	0.5149
1.798214	-0.0212	0.0485	0.6559	-0.5958	0.3307	0.5205	0.5146
1.820435	-0.0203	0.0473	0.6553	-0.6115	0.3239	0.5157	0.5051
1.842655	-0.0203	0.0473	0.6553	-0.6115	0.3239	0.5157	0.5051
1.86488	-0.0199	0.0468	0.6550	-0.6131	0.3297	0.5100	0.5052
