Timestamp	Position.x	Position.y	Position.z	Rotation.x	Rotation.y	Rotation.z	Rotation.w
0.02045441	0.3099	0.7727	1.4906	-0.5068	0.1958	-0.1239	-0.8304
0.04267502	0.3099	0.7727	1.4906	-0.5068	0.1958	-0.1239	-0.8304
0.06489944	0.3099	0.7727	1.4906	-0.5067	0.1958	-0.1239	-0.8304
0.08712006	0.3099	0.7727	1.4906	-0.5067	0.1958	-0.1239	-0.8304
0.1093407	0.3097	0.7734	1.4900	-0.5066	0.1958	-0.1239	-0.8304
0.1315651	0.3097	0.7733	1.4901	-0.5066	0.1958	-0.1240	-0.8305
0.1537857	0.3097	0.7733	1.4901	-0.5066	0.1958	-0.1240	-0.8305
0.1760063	0.3096	0.7734	1.4901	-0.5066	0.1958	-0.1240	-0.8305
0.1982307	0.3096	0.7735	1.4901	-0.5066	0.1958	-0.1240	-0.8305
0.2204514	0.3097	0.7732	1.4903	-0.5066	0.1957	-0.1239	-0.8305
0.2426758	0.3097	0.7734	1.4903	-0.5066	0.1958	-0.1240	-0.8305
0.2648964	0.3098	0.7735	1.4902	-0.5065	0.1957	-0.1240	-0.8305
0.287117	0.3098	0.7733	1.4902	-0.5065	0.1958	-0.1240	-0.8305
0.3093414	0.3098	0.7733	1.4902	-0.5065	0.1958	-0.1240	-0.8305
0.331562	0.3097	0.7733	1.4902	-0.5065	0.1958	-0.1241	-0.8305
0.3537827	0.3097	0.7724	1.4908	-0.5065	0.1958	-0.1240	-0.8305
0.3760071	0.3096	0.7725	1.4907	-0.5065	0.1958	-0.1240	-0.8305
0.3982277	0.3096	0.7725	1.4906	-0.5065	0.1958	-0.1240	-0.8305
0.4204483	0.3096	0.7727	1.4905	-0.5065	0.1958	-0.1239	-0.8305
0.4426727	0.3096	0.7724	1.4905	-0.5066	0.1958	-0.1239	-0.8305
0.4648933	0.3096	0.7724	1.4906	-0.5066	0.1958	-0.1239	-0.8305
0.487114	0.3097	0.7727	1.4904	-0.5065	0.1959	-0.1239	-0.8305
0.5093384	0.3097	0.7727	1.4904	-0.5065	0.1959	-0.1239	-0.8305
0.531559	0.3099	0.7727	1.4904	-0.5066	0.1958	-0.1238	-0.8305
0.5537834	0.3098	0.7727	1.4903	-0.5066	0.1958	-0.1238	-0.8305
0.576004	0.3098	0.7726	1.4905	-0.5065	0.1958	-0.1238	-0.8305
0.5982246	0.3097	0.7732	1.4900	-0.5065	0.1958	-0.1239	-0.8305
0.6204491	0.3097	0.7732	1.4900	-0.5065	0.1958	-0.1239	-0.8305
0.6426697	0.3096	0.7738	1.4895	-0.5064	0.1958	-0.1239	-0.8306
0.6648903	0.3095	0.7739	1.4894	-0.5064	0.1958	-0.1239	-0.8306
0.6871147	0.3096	0.7737	1.4894	-0.5064	0.1958	-0.1238	-0.8306
0.7093353	0.3096	0.7737	1.4894	-0.5064	0.1958	-0.1238	-0.8306
0.7315559	0.3096	0.7734	1.4896	-0.5065	0.1957	-0.1238	-0.8306
0.7537804	0.3096	0.7734	1.4896	-0.5065	0.1957	-0.1238	-0.8306
0.776001	0.3097	0.7735	1.4895	-0.5065	0.1956	-0.1238	-0.8306
0.7982216	0.3096	0.7735	1.4896	-0.5065	0.1955	-0.1238	-0.8306
0.820446	0.3097	0.7736	1.4895	-0.5065	0.1956	-0.1238	-0.8306
0.8426666	0.3097	0.7736	1.4895	-0.5065	0.1956	-0.1238	-0.8306
0.8648911	0.3097	0.7742	1.4890	-0.5065	0.1957	-0.1238	-0.8306
0.8871117	0.3096	0.7744	1.4888	-0.5065	0.1956	-0.1238	-0.8306
0.9093323	0.3096	0.7744	1.4887	-0.5064	0.1957	-0.1238	-0.8306
0.9315567	0.3096	0.7744	1.4887	-0.5064	0.1957	-0.1238	-0.8306
0.9537773	0.3096	0.7744	1.4886	-0.5065	0.1957	-0.1238	-0.8306
0.9759979	0.3096	0.7745	1.4887	-0.5064	0.1957	-0.1238	-0.8306
0.9982224	0.3095	0.7745	1.4886	-0.5064	0.1957	-0.1239	-0.8306
1.020443	0.3094	0.7747	1.4885	-0.5064	0.1957	-0.1239	-0.8306
1.042664	0.3093	0.7747	1.4885	-0.5064	0.1957	-0.1239	-0.8306
1.064888	0.3093	0.7749	1.4884	-0.5064	0.1957	-0.1240	-0.8306
1.087109	0.3093	0.7749	1.4884	-0.5064	0.1957	-0.1240	-0.8306
